Start (s),End (s),Scientific name,Common name,Confidence,File
54.0,57.0,Glaucidium radiatum,Jungle Owlet,0.8610,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
57.0,60.0,Glaucidium radiatum,Jungle Owlet,0.9626,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
60.0,63.0,Glaucidium radiatum,Jungle Owlet,0.9364,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
63.0,66.0,Glaucidium radiatum,Jungle Owlet,0.9708,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
66.0,69.0,Glaucidium radiatum,Jungle Owlet,0.9724,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
69.0,72.0,Glaucidium radiatum,Jungle Owlet,0.7131,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
72.0,75.0,Glaucidium radiatum,Jungle Owlet,0.9356,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
75.0,78.0,Glaucidium radiatum,Jungle Owlet,0.8871,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
78.0,81.0,Glaucidium radiatum,Jungle Owlet,0.9352,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
81.0,84.0,Glaucidium radiatum,Jungle Owlet,0.9838,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
84.0,87.0,Glaucidium radiatum,Jungle Owlet,0.8292,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
90.0,93.0,Glaucidium radiatum,Jungle Owlet,0.7045,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
99.0,102.0,Glaucidium radiatum,Jungle Owlet,0.9776,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
105.0,108.0,Glaucidium radiatum,Jungle Owlet,0.7274,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
114.0,117.0,Glaucidium radiatum,Jungle Owlet,0.8870,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
240.0,243.0,Hierococcyx varius,Common Hawk-Cuckoo,0.7693,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
246.0,249.0,Hierococcyx varius,Common Hawk-Cuckoo,0.8018,D:\TST_DATA\ATR_01\LC\LC_01\Data\TST-10_20260220_061500.wav
