Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Psilopogon viridis,White-cheeked Barbet,0.9394,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
3.0,6.0,Psilopogon viridis,White-cheeked Barbet,0.8811,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
6.0,9.0,Psilopogon viridis,White-cheeked Barbet,0.9247,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
9.0,12.0,Psilopogon viridis,White-cheeked Barbet,0.9595,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
12.0,15.0,Psilopogon viridis,White-cheeked Barbet,0.9063,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
15.0,18.0,Psilopogon viridis,White-cheeked Barbet,0.9616,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
18.0,21.0,Psilopogon viridis,White-cheeked Barbet,0.8207,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
51.0,54.0,Psilopogon viridis,White-cheeked Barbet,0.7435,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
66.0,69.0,Psilopogon viridis,White-cheeked Barbet,0.8858,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
99.0,102.0,Psilopogon viridis,White-cheeked Barbet,0.7472,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
102.0,105.0,Psilopogon viridis,White-cheeked Barbet,0.8758,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
123.0,126.0,Psilopogon viridis,White-cheeked Barbet,0.8122,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
141.0,144.0,Psilopogon viridis,White-cheeked Barbet,0.7553,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
150.0,153.0,Psilopogon viridis,White-cheeked Barbet,0.9252,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
153.0,156.0,Psilopogon viridis,White-cheeked Barbet,0.7506,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
162.0,165.0,Psilopogon viridis,White-cheeked Barbet,0.7923,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
165.0,168.0,Psilopogon viridis,White-cheeked Barbet,0.7400,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
174.0,177.0,Psilopogon viridis,White-cheeked Barbet,0.8004,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
177.0,180.0,Psilopogon viridis,White-cheeked Barbet,0.8086,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
180.0,183.0,Psilopogon viridis,White-cheeked Barbet,0.8449,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
186.0,189.0,Psilopogon viridis,White-cheeked Barbet,0.8909,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
204.0,207.0,Psilopogon viridis,White-cheeked Barbet,0.7138,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
210.0,213.0,Psilopogon viridis,White-cheeked Barbet,0.7265,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
216.0,219.0,Psilopogon viridis,White-cheeked Barbet,0.8230,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
255.0,258.0,Psilopogon viridis,White-cheeked Barbet,0.7623,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
261.0,264.0,Pycnonotus luteolus,White-browed Bulbul,0.7447,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
273.0,276.0,Psilopogon viridis,White-cheeked Barbet,0.8240,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
276.0,279.0,Psilopogon viridis,White-cheeked Barbet,0.8711,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
279.0,282.0,Psilopogon viridis,White-cheeked Barbet,0.8060,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
282.0,285.0,Psilopogon viridis,White-cheeked Barbet,0.8969,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
285.0,288.0,Psilopogon viridis,White-cheeked Barbet,0.7397,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260223_174500.wav
