Start (s),End (s),Scientific name,Common name,Confidence,File
27.0,30.0,Streptopelia chinensis,Spotted Dove,0.8867,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
39.0,42.0,Streptopelia chinensis,Spotted Dove,0.7784,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
48.0,51.0,Streptopelia chinensis,Spotted Dove,0.8093,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
78.0,81.0,Streptopelia chinensis,Spotted Dove,0.8420,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
93.0,96.0,Streptopelia chinensis,Spotted Dove,0.7936,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
120.0,123.0,Streptopelia chinensis,Spotted Dove,0.7189,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
126.0,129.0,Streptopelia chinensis,Spotted Dove,0.8800,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
135.0,138.0,Streptopelia chinensis,Spotted Dove,0.9316,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
174.0,177.0,Pycnonotus luteolus,White-browed Bulbul,0.9663,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
177.0,180.0,Pycnonotus luteolus,White-browed Bulbul,0.8278,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
186.0,189.0,Streptopelia chinensis,Spotted Dove,0.9342,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
192.0,195.0,Streptopelia chinensis,Spotted Dove,0.8856,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
204.0,207.0,Acrocephalus dumetorum,Blyth's Reed Warbler,0.7466,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
222.0,225.0,Acrocephalus dumetorum,Blyth's Reed Warbler,0.8402,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
261.0,264.0,Streptopelia chinensis,Spotted Dove,0.7548,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
279.0,282.0,Streptopelia chinensis,Spotted Dove,0.8199,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_174500.wav
