Start (s),End (s),Scientific name,Common name,Confidence,File
24.0,27.0,Psilopogon viridis,White-cheeked Barbet,0.7066,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
75.0,78.0,Psilopogon viridis,White-cheeked Barbet,0.8472,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
78.0,81.0,Psilopogon viridis,White-cheeked Barbet,0.9324,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
81.0,84.0,Psilopogon viridis,White-cheeked Barbet,0.8823,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
84.0,87.0,Psilopogon viridis,White-cheeked Barbet,0.9300,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
87.0,90.0,Psilopogon viridis,White-cheeked Barbet,0.8607,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
90.0,93.0,Psilopogon viridis,White-cheeked Barbet,0.9311,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
93.0,96.0,Psilopogon viridis,White-cheeked Barbet,0.9144,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
99.0,102.0,Psilopogon viridis,White-cheeked Barbet,0.7692,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
108.0,111.0,Psilopogon viridis,White-cheeked Barbet,0.7915,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
111.0,114.0,Psilopogon viridis,White-cheeked Barbet,0.9534,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
114.0,117.0,Psilopogon viridis,White-cheeked Barbet,0.9212,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
117.0,120.0,Psilopogon viridis,White-cheeked Barbet,0.7939,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_180000.wav
