Start (s),End (s),Scientific name,Common name,Confidence,File
27.0,30.0,Psilopogon viridis,White-cheeked Barbet,0.7158,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
84.0,87.0,Turdus simillimus,Indian Blackbird,0.9733,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
102.0,105.0,Psilopogon viridis,White-cheeked Barbet,0.7669,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
105.0,108.0,Psilopogon viridis,White-cheeked Barbet,0.7340,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
210.0,213.0,Psilopogon viridis,White-cheeked Barbet,0.7089,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
213.0,216.0,Turdus simillimus,Indian Blackbird,0.9559,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
219.0,222.0,Psilopogon viridis,White-cheeked Barbet,0.7781,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
231.0,234.0,Psilopogon viridis,White-cheeked Barbet,0.7423,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
240.0,243.0,Psilopogon viridis,White-cheeked Barbet,0.7393,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
261.0,264.0,Psilopogon viridis,White-cheeked Barbet,0.7173,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
264.0,267.0,Nisaetus cirrhatus,Changeable Hawk-Eagle,0.9618,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
267.0,270.0,Nisaetus cirrhatus,Changeable Hawk-Eagle,0.9988,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
270.0,273.0,Nisaetus cirrhatus,Changeable Hawk-Eagle,0.9742,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
276.0,279.0,Psilopogon viridis,White-cheeked Barbet,0.8384,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
279.0,282.0,Nisaetus cirrhatus,Changeable Hawk-Eagle,0.8464,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
282.0,285.0,Nisaetus cirrhatus,Changeable Hawk-Eagle,0.8776,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
285.0,288.0,Nisaetus cirrhatus,Changeable Hawk-Eagle,0.7500,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260330_074500.wav
